Name,Description,Ecosystem,Spec. Issue,Components,Interfaces,Source
Software Supply Chain,"The major supply-chain attacks on commercial software vendors during the past two years heightens the need for vendors and CSPs to use secure development processes, DevSecOps approaches, end-to-end protection for CI/CD pipelines, signed code provenance, and other forms of protection.",FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
AI/ML Vectors,The use in the RAN of emerging technology like artificial intelligence can introduce new risks and expose new attack vectors.,FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
IoT Botnet Attacks,The rise of IoT and the proliferation of connected devices increases the risk of attacks by compromised devices.,FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
Disaggregated CU-DU,The disaggregation of the CU and DU presents a potential new attack vector in the open fronthaul interface that operates in the lower-layer split (LLS) interface.,FALSE,FALSE,,Fronthaul Interface,Security for Open RAN Architectures in 5G Telco Clouds
"Unauthorized Access to O-DU, O-CU","Unauthorized access to a component or a control or user plane, such as the DU or the CU control plane, to degrade RAN performance or attack network availability",FALSE,FALSE,"O-DU, O-CU",,Security for Open RAN Architectures in 5G Telco Clouds
Disabled Ciphers,Disabling over-the-air ciphers to eavesdrop on traffic.,FALSE,FALSE,UE,,Security for Open RAN Architectures in 5G Telco Clouds
Security-Latency Requirements,Strict latency requirements can affect how security controls like encryption are implemented and managed on the Open Fronthaul Interface.,FALSE,FALSE,,Fronthaul Interface,Security for Open RAN Architectures in 5G Telco Clouds
Sensitive RIC Data,An O-RAN architecture includes a real-time intelligent controller. The RIC is a new component that accesses user context and data about user usage -- sensitive data that requires extra protection. The RIC exposes this sensitive data to RAN applications developed by multiple vendors.,FALSE,FALSE,Near-RT RIC,,Security for Open RAN Architectures in 5G Telco Clouds
Third Party Application Conflicts,"Another potential vulnerability is Near-RT RIC conflicts with O-gNB, or conflicts between third-party applications.",FALSE,FALSE,Near-RT RIC,,Security for Open RAN Architectures in 5G Telco Clouds
Improper Isolation,Unprotected or poorly isolated management interfaces.,FALSE,FALSE,,ALL,Security for Open RAN Architectures in 5G Telco Clouds
Missing Trust and Code Provenance,Disaggregation can present vulnerabilities if hardware roots of trust and code provenance are not in use.,FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
Insecure Designs,"The inadvertent use of insecure designs, architectures, or interfaces.",FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
Misconfigurations,"Misconfiguration, insufficient isolation, weak authentication, or imprecise access control for applicable components and interfaces.",FALSE,FALSE,ALL,,Security for Open RAN Architectures in 5G Telco Clouds
Kubernetes Vulnerabilities,"Kubernetes, containers, the Linux container host operating system, the container image registry, and other cloud-native technology call for new skill sets. If improperly deployed or managed, CNFs and Kubernetes, like any other technology, can expose vulnerabilities or present new attack vectors.",FALSE,FALSE,"O-Cloud, SMO",,Security for Open RAN Architectures in 5G Telco Clouds
Container Vulnerabilities,"Container images for CNFs and 5G services require code provenance and protection as they move through a CI/CD pipeline. If container images are not stored securely, protected by role-based access control, scanned for vulnerabilities, and signed as trusted, container images can contain vulnerabilities or exploits that surface after deployment.",FALSE,FALSE,"O-Cloud, SMO",,Security for Open RAN Architectures in 5G Telco Clouds
xApp Supply Chain Attacks,An xApp could be compromised through the supply chain or  by hijacking the onboarding process.,FALSE,FALSE,Near-RT RIC,,Opening Critical Infrastructure: The Current State of Open RAN Security
Unexpected xApp Messages,Even a benign xApp can cause harm if it sends out unexpected or anomalous messages.,FALSE,FALSE,Near-RT RIC,,Opening Critical Infrastructure: The Current State of Open RAN Security
RMR Spoofing,RMR spoofing and hijacking could disrupt the xApp ecosystem in RIC without shutting down any component.,FALSE,FALSE,Near-RT RIC,,Opening Critical Infrastructure: The Current State of Open RAN Security
