Risk ID,Threat Key,Risk Description,Impact Description,CIA,Severity Level,Likelihood Level,Applied factors,Rationale,Considered Assumptions,Risk Score
T-O-RAN-01(NEAR RT RIC),T-O-RAN-01,"An attacker exploits insecure designs or lack of adoption of security controls (e.g. hardening) in O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system in O-RAN components","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Exposure (High): A1, O1, E2, xApps, rApps
 • Adverse impacts (High)","O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.
 
 O-RAN Alliance has specified security for O-RAN interfaces at the transport layers thereby mitigating access to O-RAN functions through the interfaces. The O-RAN Alliance has not yet specified security for protecting the platforms that host the O-RAN functions from physical or remote access.",,High
T-O-RAN-01 (Non RT RIC + SMO),T-O-RAN-01,"An attacker exploits insecure designs or lack of adoption of security controls (e.g. hardening) in O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system in O-RAN components","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Exposure (High): A1, O1, O2, rApps
 • Adverse impacts (High)","O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.
 
 O-RAN Alliance has specified security for O-RAN interfaces at the transport layers thereby mitigating access to O-RAN functions through the interfaces. The O-RAN Alliance has not yet specified security for protecting the platforms that host the O-RAN functions from physical or remote access.",,High
T-O-RAN-01 (O-CU),T-O-RAN-01,"An attacker exploits insecure designs or lack of adoption of security controls (e.g. hardening) in O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system in O-RAN components","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Exposure (High): O1, E2, administration interfaces
 • Adverse impacts (High)","O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.
 
 O-RAN Alliance has specified security for O-RAN interfaces at the transport layers thereby mitigating access to O-RAN functions through the interfaces. The O-RAN Alliance has not yet specified security for protecting the platforms that host the O-RAN functions from physical or remote access.",,High
T-O-RAN-01 (O-DU),T-O-RAN-01,"An attacker exploits insecure designs or lack of adoption of security controls (e.g. hardening) in O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system in O-RAN components","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Exposure (High): E2, O1, FH
 • Adverse impacts (High)","O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.
 
 O-RAN Alliance has specified security for O-RAN interfaces at the transport layers thereby mitigating access to O-RAN functions through the interfaces. The O-RAN Alliance has not yet specified security for protecting the platforms that host the O-RAN functions from physical or remote access.",,High
T-O-RAN-01 (O-RU),T-O-RAN-01,"An attacker exploits insecure designs or lack of adoption of security controls (e.g. hardening) in O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system in O-RAN components","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Exposure (High): FH, O1, physical
 • Adverse impacts (High)","O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.
 
 O-RAN Alliance has specified security for O-RAN interfaces at the transport layers thereby mitigating access to O-RAN functions through the interfaces. The O-RAN Alliance has not yet specified security for protecting the platforms that host the O-RAN functions from physical or remote access.",,High
T-O-RAN-02,T-O-RAN-02,"An attacker exploits misconfigured or poorly configured O-RAN components causing:
 - Loss of service
 - Privacy issues
 - Performance issues in the system","Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Threat event initiation (High)
 • Adverse impacts (High)",O-Cloud security hardening requirements have not been specified yet and it is unclear whether the industry practices sufficiently cover the threats outlined.,,High
T-O-RAN-03,T-O-RAN-03,"Attacks from the internet exploit weak authentication and access control to penetrate O-RAN network boundary, causing:
 - Flooding of the network - loss of service, performance issues
 - Unauthorized access to ORAN components","Denial of service for component access and/or function/service offered;
 Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I, A",High,Medium,"• Threat event initiation (High)
 • Adverse impacts (Medium)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet. This attack to be performed requires multiple steps to be achieved by an attacker.",The O-RAN network elements should not be exposed to untrusted/ internet end points without network access control.,High
T-O-RAN-04,T-O-RAN-04,"An attacker attempts to flooding the airlink signal (legitimate communications) through IoT devices causing:
 - Loss of service",Denial of service for component access and/or function/service offered,A,Medium,High,"• Threat event initiation (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any security measures on flooding attacks through IoT devices.,,High
T-O-RAN-05,T-O-RAN-05,"An attacker penetrates and compromises the O-RAN system through the open O-RAN’s Fronthaul, O1, O2, A1, and E2","Data tampering and information disclosure;
 Denial of service from within for component access and/or function/service offered;
 Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I, A",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)","Existing controls are in place (moderately satisfactory), Malicious user needs to have direct (physical) access to the target system",,High
T-O-RAN-06,T-O-RAN-06,An attacker exploits insufficient/improper mechanisms for authentication and authorization to compromise O-RAN components,"Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data","C, I, A",High,High,"• Threat event initiation (High)
 • Adverse impacts (Medium)","Existing controls are in place (moderately satisfactory), Attack can be launched from the internet or untrusted network",Authentication procedures are in place,High
T-O-RAN-07,T-O-RAN-07,An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability,"Compromise of availability and integrity of security event log files could conduct to delays, wrong audit results, delays in security restoration, threats persistence.","I, A",Medium,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)","Existing controls are in place (moderately satisfactory), Malicious user needs to have administrative or elevated privileges in the target system. It is a likely scenario after initial compromise of network elements.","Authentication procedures , patch management regular programmed update, vulnerability handling/regular scanning, SBOM are in place",Medium
T-O-RAN-08,T-O-RAN-08,"An attacker compromises O-RAN data integrity, confidentiality and traceability","An attacker could, in such case, data tampering, information disclosure, spoofing identity, elevation of privilege, etc.","C, I",Medium,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)",Existing controls are in place (moderately satisfactory). Likely scenario after initial compromise of network elements with local data storage.,"Protection at rest (e.g. HSM) is in place (operator decision),",Medium
