Threat ID,Threat title,Threat agent,Vulnerability,Threatened Asset,Affected Components,Threat Type,Extra Interfaces
T-O-RAN-01,An attacker exploits insecure designs or lack of adaption in O-RAN components,All,"· Outdated component from the lack of update or patch management 
 · Poorly design architecture 
 · Missing appropriate security hardening
 · Unnecessary or insecure function/protocol/component",All,All,O-RAN specific,
T-O-RAN-02,An attacker exploits misconfigured or poorly configured O-RAN components,All,"· Errors from the lack of configuration change management 
 · Misconfigured or poorly configured O-RAN components
 · Improperly configured permissions
 · Unnecessary features are enabled (e.g. unnecessary ports, services, accounts, or privileges)
 · Default accounts and their passwords still enabled and unchanged
 · Security features are disabled or not configured securely",All,All,O-RAN specific,
T-O-RAN-03,Attacks from the internet to penetrate O-RAN network boundary,All,"Errors in the design and implementation of the network protocols (HTTP, P, TCP, UDP, application protocols)",All,All,O-RAN specific,
T-O-RAN-04,An attacker attempts to jam the airlink signal through IoT devices,All,Failure to address overload situations,"ASSET-D-06, ASSET-D-18","O-RU, airlink with UE, O-DU",O-RAN specific,
T-O-RAN-05,"An attacker penetrates and compromises the O-RAN system through the open O-RAN’s Fronthaul, O1, O2, A1, and E2",All,"· Improper or missing authentication and authorization processes
 · Improper or missing ciphering and integrity checks of sensitive data exchanged over O-RAN interfaces
 · Improper or missing replay protection of sensitive data exchanged over O-RAN interfaces
 · Improper prevention of key reuse",All,"rApps, xApps, O-RU, O-DU, O-CU, Near-RT RIC, Non-RT RIC",O-RAN specific,
T-O-RAN-06,An attacker exploits insufficient/improper mechanisms for authentication and authorization to compromise O-RAN components,All,"· Unauthenticated access to O-RAN functions 
 · Improper authentication mechanisms 
 · Use of Predefined/ default accounts
 · Weak or missing password policy 
 · Lack of mutual authentication to O-RAN components and interfaces
 · Failure to block consecutive failed login attempts
 · Improper authorization and access control policy",All,All,O-RAN specific,
T-O-RAN-07,An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability,All,"· Lack of security event logging
 · Insufficient protection of log files",ASSET-D-29,All,O-RAN specific,
T-O-RAN-08,"An attacker compromises O-RAN data integrity, confidentiality and traceability",All,"· Improper or missing ciphering of sensitive data in storage or in transfer
 · Improper or missing integrity mechanisms to protect sensitive data in storage or in transfer
 · Presence of active function(s) that reveal confidential internal data 
 · No traceability (logging) of access to personal data",ASSET-D-01 to ASSET-D-29,All,O-RAN specific,
T-O-RAN-09,An attacker compromises O-RAN components integrity and availability,All,"· Improper handling of overload situations 
 · Unrestricted boot memory devices 
 · Lack of / improper mechanisms for Network Product software package integrity validation",ASSET-C-01 to ASSET-C-12,All,O-RAN specific,
T-O-RAN-10,Inconsistent Log Format Impeding Effective Attack Detection,All,"· Lack of Centralized Log Management: Without a centralized system to collect and analyse logs, it's difficult to correlate events across different systems, which can obscure the detection of attack patterns.
 · Lack of Log Standardization: Different systems generating logs in various formats can lead to inconsistencies in the data, making it difficult to aggregate and analyse logs effectively.
 · Limited Log Analysis Capabilities: Even with centralized logs, if the analysis tools or processes are not up to the task, potential threats may still go undetected.
 · Inconsistent Time Synchronization: Without synchronized time across systems, it becomes challenging to correlate log entries accurately, which is crucial for tracking attackers' movements and actions.",All,All,O-RAN specific,
T-FRHAUL-01,An attacker penetrates O-DU and beyond through O-RU or the Fronthaul interface to access or modify sensitive information,All,Heterogeneous security levels between O-RU and O-DU provided by different vendors,"ASSET-D-01, ASSET-D-02, ASSET-D-04, ASSET-D-05","rApps, xApps, O-RU, O-DU, O-CU, Near-RT RIC, Non-RT RIC",O-RAN specific,Fronthaul Interface
T-FRHAUL-01A,An attacker penetrates O-DU and beyond through O-RU or the Fronthaul interface to impersonate a legitimate system or user,All,Heterogeneous security levels between O-RU and O-DU provided by different vendors,"ASSET-D-01, ASSET-D-02, ASSET-D-04, ASSET-D-05","rApps, xApps, O-RU, O-DU, O-CU, Near-RT RIC, Non-RT RIC",O-RAN specific,Fronthaul Interface
T-FRHAUL-02,Unauthorized access to Open Front Haul Ethernet L1 physical layer interface(s) to obtain protected information,All,Lack of authentication and access control to the Open Front Haul Ethernet L1 physical layer interface,"ASSET-D-01, ASSET-D-02, ASSET-D-04, ASSET-D-05","rApps, xApps, O-RU, O-DU, O-CU, Near-RT RIC, Non-RT RIC",O-RAN specific,Fronthaul Interface
T-FRHAUL-03,Unauthorized access to Open Front Haul Ethernet L1 physical layer interface(s) to disrupt services,All,Lack of authentication and access control to the Open Front Haul Ethernet L1 physical layer interface,"ASSET-D-01, ASSET-D-02, ASSET-D-04, ASSET-D-05","rApps, xApps, O-RU, O-DU, O-CU, Near-RT RIC, Non-RT RIC",O-RAN specific,Fronthaul Interface
T-MPLANE-01,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to obtain protected information,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,"ASSET-D-02, ASSET-D-03","Near-RT RIC, Non-RT RIC, O-CU, O-DU, SMO",O-RAN specific,Fronthaul Interface
T-MPLANE-02,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to alter m-plane data,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,"ASSET-D-02, ASSET-D-03","Near-RT RIC, Non-RT RIC, O-CU, O-DU, SMO",O-RAN specific,Fronthaul Interface
T-MPLANE-03,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to disrupt services,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,"ASSET-D-02, ASSET-D-03","Near-RT RIC, Non-RT RIC, O-CU, O-DU, SMO",O-RAN specific,Fronthaul Interface
T-SPLANE-01,DoS attack against a Master clock,All,"· Improper process to monitor and manage the performance of the Master clock
 · ANNOUNCE messages can be sent publicly in clear text",ASSET-D-01,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
